Ref,Val,Package,PosX,PosY,Rot,Side
"U7","RTL8211F-CG","QFN40P500X500X80-41N-S360",145.000000,-106.500000,0.000000,top
"U8","TLV62565DBV","SOT95P280X145-5N",115.700000,-111.700000,180.000000,top
"U10","TPSM863257RDXR","VREG_TPSM863257RDXR",148.300000,-127.500000,180.000000,top
"U11","TPSM863257RDXR","VREG_TPSM863257RDXR",183.200000,-134.600000,90.000000,top
"U12","LP5951MF-3.0/NOPB","SOT95P284X122-5N",159.300000,-113.715000,0.000000,top
"U13","LM336M-2.5","SOIC127P600X175-8N",172.800000,-124.900000,90.000000,top
"U14","DAC8550IDGK","SOP65P490X110-8N",170.055000,-115.085000,90.000000,top
"U15","DAC8550IDGK","SOP65P490X110-8N",174.930000,-115.085000,90.000000,top
"U16","CDCM61004RHB","QFN50P500X500X100-33N-S355",159.100000,-121.700000,0.000000,top
"U17","TCA9535RTWR","QFN50P400X400X80-25N-S245",178.162500,-60.600000,0.000000,top
"U18","TLV77325PDBVR","SOT-23-5",166.100000,-82.300000,-90.000000,top
"U19","TCA9535RTWR","QFN50P400X400X80-25N-S245",166.262500,-60.600000,0.000000,top
"U20","RT9045AGSP / AP2303","SOIC127P600X168-9N-S230",194.300000,-135.200000,180.000000,top
"U21","FT2232HQ","QFN50P900X900X100-65N-S445",127.850000,-117.850000,0.000000,top
"U23","NCV59801CML120TCG","SON65P300X300X100-9N-R170X245",172.800000,-101.100000,180.000000,top
"U24","SN74LVC1G07DBV","SOT95P280X145-5N",137.675000,-122.750000,90.000000,top
"U25","SN74LVC1G07DBV","SOT95P280X145-5N",142.500000,-122.750000,90.000000,top
"U26","PCA9546ARGV","QFN65P400X400X100-17N-S225",188.800000,-60.600000,0.000000,top
"U27","S25FL128SAGMFI001","SOIC127P1030X265-16N",194.300000,-75.000000,0.000000,top
"U28","24AA256UID-I_ST","SOP65P640X120-8N",183.300000,-71.800000,-90.000000,top
"Y2","VM53S3-25.000-2.5/-30+75","OSCCC320X500X160-4N",164.950000,-115.150000,0.000000,top
"Y3","OSC_20MHZ_IQD_LFVCXO026156","OSC_IQD_CFPV-45",179.200000,-122.800000,0.000000,top
"Y4","XTAL_25MHZ_EPSON_TSX-3225_25.0000MF10Z-AC","XTAL_EPSON_TSX-3225",144.500000,-99.200000,-90.000000,top
"Y6","XTAL_25MHZ_TXC_8Y-25.000MAAJ-T","XTAL_TXC_8Y",170.000000,-75.950000,-90.000000,top
