Designator,Val,Package, Mid X, Mid Y,Rotation,Layer
C138,CC0201_47NF_6.3V_10%_X5R,CAPC0603X33N,179.307324,-90.951217,0.000000,bottom
C139,CC0201_47NF_6.3V_10%_X5R,CAPC0603X33N,193.400000,-87.500000,180.000000,bottom
C140,CC0201_47NF_6.3V_10%_X5R,CAPC0603X33N,191.300000,-91.000000,90.000000,bottom
C141,CC0402_4.7UF_16V_20%_X5R,CAPC1005X55N,194.750000,-102.300000,-90.000000,bottom
C142,CC0402_4.7UF_16V_20%_X5R,CAPC1005X55N,195.600000,-97.300000,0.000000,bottom
C143,CC0201_470NF_4V_20%_X5R,CAPC0603X33N,188.900000,-100.900000,90.000000,bottom
C144,CC0201_470NF_4V_20%_X5R,CAPC0603X33N,192.900000,-101.900000,180.000000,bottom
C145,CC0201_470NF_4V_20%_X5R,CAPC0603X33N,194.500000,-98.300000,180.000000,bottom
C146,CC0201_470NF_4V_20%_X5R,CAPC0603X33N,191.300000,-94.700000,90.000000,bottom
C147,CC0201_47NF_6.3V_10%_X5R,CAPC0603X33N,190.400000,-96.700000,-90.000000,bottom
C148,CC0201_47NF_6.3V_10%_X5R,CAPC0603X33N,188.100000,-97.500000,-90.000000,bottom
C149,CC0201_47NF_6.3V_10%_X5R,CAPC0603X33N,192.800000,-99.400000,90.000000,bottom
C150,CC0201_47NF_6.3V_10%_X5R,CAPC0603X33N,182.900000,-93.900000,180.000000,bottom
C151,CC0402_10UF_6.3V_20%_X5R,CAPC1005X70N,188.000000,-105.200000,90.000000,bottom
C152,CC0402_10UF_6.3V_20%_X5R,CAPC1005X70N,189.400000,-108.400000,90.000000,bottom
C153,CC0201_470NF_4V_20%_X5R,CAPC0603X33N,190.400000,-108.300000,90.000000,bottom
C154,CC0201_100NF_6.3V_10%_X5R,CAPC0603X33N,187.690000,-93.900000,0.000000,bottom
C155,CC0201_470NF_4V_20%_X5R,CAPC0603X33N,185.300000,-93.900000,0.000000,bottom
